PHA_MR,MR_INSPECTION_DATE,MR_INSPECTION_COST,SECOND_MR_INSPECTION_DATE,SECOND_MR_INSPECTION_COST,PERCENT_CHANGE_IN_COST
Corpus Christi Housing Authority,12/17/2014,38669,12/16/2014,10185,279.6662
Harrisburg Housing Authority,4/30/2014,38821,4/28/2014,10315,276.3548
Edison Housing Authority,7/30/2013,37351,7/24/2013,10103,269.7021
Ithaca Housing Authority,12/29/2014,36958,11/18/2013,10335,257.6004
Housing Authority of South Bend,10/28/2013,37007,1/28/2015,11256,228.7758
WEST PALM BEACH HOUSING AUTHORIT,07/02/14,35525,07/01/14,10896,226.0371
Kokomo Housing Authority,6/19/2013,33571,6/17/2013,10437,221.6537
COUNTY OF MONTEREY HSG AUTH,09/05/14,37768,08/04/14,12204,209.4723
Kingsville Housing Authority,4/22/2014,34329,4/22/2014,11274,204.4971
Housing Authority of Joliet,8/22/2013,38887,8/19/2013,12982,199.5455
Housing Authority of Stanton,6/17/2014,34994,05/07/14,11879,194.5871
St. Louis Housing Authority,08/09/13,31252,08/07/13,10696,192.184
Waterville Housing Authority,6/27/2013,39595,1/15/2015,13571,191.7618
HA City of Everett,06/11/14,36090,5/13/2014,12424,190.4862
Freeport Housing Authority,05/09/14,33928,5/13/2014,11756,188.6016
New Bedford Housing Authority,05/07/14,36360,05/05/14,12661,187.1811
TAMPA HOUSING AUTHORITY,07/02/14,33481,07/01/14,12130,176.0181
Humboldt Housing Authority,6/26/2013,36317,1/26/2015,13363,171.7728
HA TROY,08/05/14,39158,05/06/14,14428,171.4028
Zanesville Metropolitan Housing,9/23/2014,28684,9/22/2014,10702,168.0247
Dearborn Housing Commission,1/27/2014,36919,1/14/2015,13848,166.6017
Marquette Housing Commission,11/19/2014,29475,11/19/2014,11063,166.4286
Bristol Housing,09/12/13,30396,1/26/2015,11420,166.1646
Housing Authority of the City &,9/19/2013,28151,9/18/2013,10937,157.3923
Elizabeth Housing Authority,9/19/2014,35542,8/22/2014,14282,148.8587
Northeast Georgia Housing Author,6/26/2013,26492,6/24/2013,10699,147.6119
Housing Authority City of Orange,12/30/2014,39479,12/27/2013,16148,144.4823
North Bergen Housing Authority,08/09/13,34195,08/08/13,14003,144.1977
The Guntersville Housing Authori,09/04/14,36517,11/06/13,14976,143.8368
Morgan County Housing Authority,8/27/2013,34044,10/20/2014,14109,141.2928
Nashua Housing Authority,8/26/2014,29313,8/14/2014,12267,138.9582
Fayetteville Metropolitan Housin,9/19/2013,34657,09/10/13,14572,137.8328
CITY OF RENO HOUSING AUTHORITY,9/19/2014,39306,9/18/2014,16539,137.6564
Housing Authority of Salt Lake C,04/09/14,32202,04/08/14,13583,137.0758
Alachua County,5/16/2013,39653,05/01/14,17019,132.9925
Winnebago County Housing Authori,7/17/2013,29792,7/16/2013,12856,131.7362
Plattsburgh Housing Authority,9/30/2014,28986,8/30/2013,12550,130.9641
Housing Authority of Maricopa Co,09/05/14,29643,09/04/14,12847,130.7387
Dunkirk Housing Authority,8/28/2013,31228,8/26/2013,13561,130.278
Greenwich Housing Authority,06/07/13,28635,05/09/14,12613,127.0277
Bureau County Housing Authority,8/21/2014,37026,06/09/14,16452,125.0547
CLEARWATER HOUSING AUTHORITY,07/10/14,33812,07/10/14,15199,122.462
GREENE METROPOLITAN HOUSING AUTH,7/15/2013,38395,07/11/13,17295,122.0006
Ogdensburg Housing Authority,07/02/13,30272,07/01/13,13726,120.545
Housing Authority Of Crisfield,05/01/14,39888,04/09/14,18098,120.4
Housing and Urban Renewal Agency,10/28/2013,25868,1/14/2015,11739,120.3595
WESTMORELAND COUNTY HSG AUTHORIT,12/19/2013,35000,11/07/13,15968,119.1884
Neptune Housing Authority,10/23/2013,34723,10/21/2013,15910,118.2464
HA BESSEMER,06/04/14,30550,06/02/14,14238,114.5667
Lincoln Housing Authority,05/05/14,38343,5/20/2014,18059,112.3207
COUNTY OF STANISLAUS HOUSING AUT,12/08/14,39551,12/10/14,18830,110.0425
HA Of Pierce County,6/17/2014,31576,3/31/2014,15088,109.2789
Southern Nevada Regional Housing,9/26/2013,30353,9/24/2013,14563,108.4255
Newport News Redevelopment & Hou,9/25/2014,38231,9/19/2014,18424,107.5065
WAYNE METROPOLITAN HOUSING AUTHO,05/12/14,38841,4/25/2014,18738,107.2847
Hampton Redevelopment & Housing,5/15/2013,39636,5/14/2013,19252,105.8799
The Housing Auth of the City of,12/29/2014,29407,12/17/2014,14648,100.7578
PHA in and for the City of Minne,5/19/2014,32938,1/28/2015,16583,98.6251
Athens Metropolitan Housing Auth,5/22/2014,21816,5/21/2014,10996,98.3994
BLUE EARTH COUNTY EDA,1/15/2015,37189,1/14/2015,18784,97.9823
Housing Authority of the City of,09/09/14,32185,09/09/13,16348,96.8742
Sault Ste Marie Housing Commissi,07/01/14,35408,07/01/14,18010,96.6019
Saginaw Housing Commission,8/22/2013,23118,8/21/2013,11810,95.7494
Lebanon Housing Authority,6/25/2013,24573,4/28/2014,12585,95.2563
Springfield Housing Authority,09/02/14,20517,8/28/2013,10549,94.4924
Bethlehem Housing Authority,06/06/14,30295,06/12/14,15583,94.4106
Housing Authority of Westwego,8/21/2013,31734,8/20/2013,16501,92.3156
HOUSING AUTHORITY OF SPARTANBURG,09/04/13,34991,09/03/13,18308,91.1241
Ironton Metropolitan Housing Aut,3/26/2014,31822,3/25/2014,16709,90.4483
Peekskill Housing Authority,7/19/2013,36091,7/18/2013,19000,89.9526
Portsmouth Metropolitan Housing,9/29/2014,39516,9/17/2014,20954,88.5845
Del Rio Housing Authority,7/25/2013,37259,7/24/2013,19860,87.6083
HA OF  KING COUNTY,07/09/14,33869,06/09/14,18091,87.2146
Hawaii Public Housing Authority,06/04/14,32342,06/04/14,17325,86.6782
Alexander County Housing Authori,4/24/2014,18855,4/23/2014,10132,86.0936
CHARLESTON CO HSG & REDEV AUTH,08/08/13,27255,08/06/13,14669,85.8
Bradford County Housing Authorit,10/29/2014,19262,10/28/2014,10512,83.2382
Fairfax County Redevelopment & H,02/02/15,25722,12/03/13,14077,82.7236
Columbus Housing Authority,9/17/2014,31989,12/19/2014,17555,82.2216
Ottumwa Housing Authority,4/23/2014,20484,4/22/2014,11303,81.2262
PAHOKEE HOUSING AUTHORITY,11/20/2013,26914,11/19/2013,14967,79.8223
EUFAULA HOUSING AUTHORITY,05/08/14,25641,5/29/2013,14275,79.6217
Selma Housing Authority,9/17/2014,35190,5/16/2013,19647,79.1113
BOAZ HOUSING AUTHORITY,04/07/14,22334,04/03/14,12740,75.3061
LAKE WALES HOUSING AUTHORITY,8/26/2013,26565,3/28/2014,15171,75.1038
Bergen County Housing Authority,6/30/2014,20972,5/28/2014,12018,74.5049
Vineland Housing Authority,02/02/15,32047,12/11/13,18534,72.9092
KINGS COUNTY HOUSING AUTH,7/23/2013,19919,7/23/2013,11578,72.0418
